Country,Reference,Reference URL
Australia,"Katic, P., & Leigh, A. (2015). Top wealth shares in Australia 1915-2012. ""Review of Income and Wealth, 62(2)"", 209-222. doi:10.1111/roiw.12177",https://onlinelibrary.wiley.com/doi/full/10.1111/roiw.12177?casa_token=3M4TeVu_58IAAAAA%3AIvfx5mFPbIcwGjGribSoDyK7v9o2w9GXKLObZRstcStBiTmZj2eHQJD8fg81NgCKoPaXOhNjl9g5zKA
Australia,"Matthew, F. (2020). ""Simplified DINA for Australia, Canada and New Zealand"". WID.world. Retrieved from http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/",http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/
Australia,"Saunders, P. (1993). Longer run changes in the distribution of income in Australia. ""Economic Record, 69(4)"", 353-366. doi:10.1111/j.1475-4932.1993.tb02117.x",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4932.1993.tb02117.x
Australia,"Wilkins, R. (2014). Evaluating the evidence on income inequality in Australia in the 2000s. ""Economic Record, 90(288)"", 63-89. doi:10.1111/1475-4932.12090",https://onlinelibrary.wiley.com/doi/full/10.1111/1475-4932.12090?casa_token=lXdI0OmcGz8AAAAA%3AlZuGzd-EzHFdKM1WEtAaHj0u4mKMNK6o1Ctbb4qklF-MIpKfGcfxPSxZJAa5OwnFRUt9DwHbMk2PFvQ
Australia,"Wilkins, R. (2015). Measuring income inequality in Australia. ""Australian Economic Review, 48(1)"", 93-102. doi:10.1111/1467-8462.12098",https://onlinelibrary.wiley.com/doi/full/10.1111/1467-8462.12098?casa_token=whGsPZx1ARIAAAAA%3AV4n_gtE2cLiW7zyjhzVKBUuKxf2Ch_1Ou4-e9j-oohAj4cZv6MtLVeUjXob98kFgbp7z649PRcJLNss
Brazil,"De Rosa, M., et al. (2021). ""2021 DINA Regional Update for Latin America"". WID.world. Retrieved from http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/",http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/
Brazil,"Fishlow, A. (1972). Brazilian size distribution of income. ""The American Economic Review 62.1/2 (1972), 62(1/2)"", 391–402.",https://www.jstor.org/stable/1821573?casa_token=RRThSAoz87wAAAAA%3AxqKpKhQPTQhJaGw33dQr_tq6K2dCkunq_PuX08mEklkzKsQaw080u6ZEwt9aCqBJjBCkGLdDkq2OeWdi1CRIUM_bG0MlPmJlizSKtCgHVuW_nEjqBVo
Brazil,"Gasparini, L., et al. (2011). Recent Trends in Income Inequality in Latin America. ""Economía, 11(2)"", 147–190. https://doi.org/10.1353/eco.2011.0002.",https://muse.jhu.edu/article/430783
Brazil,"Langoni, C. G. (1973). Income distribution and economic development: The Brazilian case. World Econometric Society Congress, Toronto.",
Brazil,"Langoni, C. G. (1975). Review of income data: Brazil. ""Research Program in Economic Development Discussion Paper 60""",
Brazil,"Langoni, C. G. (1978). Distribuição de Renda e Desenvolvimento Econômico do Brasil?. ""Expressão e Cultura"", Rio de Janeiro.",https://epge.fgv.br/conferencias/educacao-basica-no-brasil-2017/files/carlos-langoni-1972.pdf
Brazil,"Morgan, M. (2017). Falling Inequality beneath Extreme and Persistent Concentration: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015. ""WID.world"" Retrieved from https://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/. ",https://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/
Brazil,"Neri, M. (2010). The Decade of Falling Income Inequality and Formal Employment Generation in Brazil. ""Tackling Inequalities in Brazil, China, India and South Africa"", 57–107. https://doi.org/10.1787/9789264088368-4-en. ",https://www.oecd-ilibrary.org/social-issues-migration-health/tackling-inequalities-in-brazil-china-india-and-south-africa-2010_9789264088368-en
Canada,"Atkinson, A. B. (2008). ""The Changing Distribution of earnings in OECD countries"". Oxford University Press.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Canada,"Davies, J. B., & Di Matteo, L. (2018).  Filling the gap: Long run Canadian wealth inequality in international context. ""Research Report 2018-1"". The University of Western Ontario, Department of Economics. ",https://onlinelibrary.wiley.com/doi/epdf/10.1111/roiw.12453
Canada,"Love, R. (1979). Income Distribution and Inequality in Canada. Statistics Canada.",
Canada,"Fisher-Post, M. (2020). Simplified DINA for Australia, Canada and New Zealand. ""WID.world"". Retrieved from http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/. ",http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/
Canada,"Saez, E., & Veall, M. (2003). The evolution of high incomes in Canada, 1920-2000. ""National Bureau of Economic Research Working Paper Series, 9607"". https://doi.org/10.3386/w9607 ",https://www.nber.org/papers/w9607
Canada,"Veall, M. (2012). Top income shares in Canada: Recent trends and policy implications. ""Canadian Journal of Economics/Revue Canadienne D'économique, 45(4)"", 1247–1272. https://doi.org/10.1111/j.1540-5982.2012.01744.x ",https://www.jstor.org/stable/23270172
Canada,"Wolfson, M. (1986). Stasis amid change income inequality in Canada 1965-1983. ""Review of Income and Wealth, 32(4)"", 337–369. https://doi.org/10.1111/j.1475-4991.1986.tb00545.x ",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4991.1986.tb00545.x/full
Finland,"Atkinson, A. B. (2008). ""The Changing Distribution of earnings in OECD countries"". Oxford University Press.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Finland,"Blanchet, T., Chancel, L., & Gethin, A. (2019). How Unequal Is Europe? Evidence from Distributional National Accounts, 1980-2017. ""WID.world"". Retrieved from https://wid.world/document/bcg2019-full-paper/ ",https://wid.world/document/bcg2019-full-paper/
Finland,"Morgan, M., & Neef, T. (2020). ""2020 DINA Update for Europe"". WID.world. Retrieved from https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/. ",https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/
Finland,"Eriksson, T., & Jäntti, M. (1997). The distribution of earnings in Finland 1971–1990. ""European Economic Review, 41(9)"", 1763–1779. https://doi.org/10.1016/s0014-2921(96)00044-x ",https://www.sciencedirect.com/science/article/abs/pii/S001429219600044X?via%3Dihub
Finland,"Eriksson, T., & Jäntti, M. (1998). Modelling the Distribution of Income and Socio-Economic Variables: Finland 1949-1992. IARIW 50th Anniversary Conference.",https://pure.au.dk/portal/en/publications/modelling-the-distribution-of-income-and-socioeconomic-variables-finland-19491992(04800c20-2521-11da-af22-000ea68e967b).html
Finland,"Jäntti, M. (2010). Trends in Top Income Shares in Finland. In ""Top incomes: A global perspective"", 371–447. Oxford University Press.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Finland,"Riihelä, M., et al. (2003). On Recent Trends in Economic Poverty in Finland. Working Papers, Tampere University, School of Management and Business, Economics, https://EconPapers.repec.org/RePEc:tam:wpaper:0323.",https://econpapers.repec.org/paper/tamwpaper/0323.htm
Finland,"Roine, J., & Waldenström, D. (2015). Long-run trends in the distribution of income and wealth. ""Handbook of Income Distribution"", 469–592. https://doi.org/10.1016/b978-0-444-59428-0.00008-4 ",http://ftp.iza.org/dp8157.pdf
France,"Blanchet, T., & Martínez-Toledano, C. (2021). Distributional Wealth Accounts in Europe: Methodology. ""WID.world"". Retrieved from http://wordpress.wid.world/document/distributional-financial-accounts-in-europe-world-inequality-lab-technical-note-2021-12/ ",http://wordpress.wid.world/document/distributional-financial-accounts-in-europe-world-inequality-lab-technical-note-2021-12/
France,"Bozio, A. (2018). ""Predistribution vs. Redistribution: Evidence from France and the U.S"". WID.world. Retrieved from https://wid.world/document/predistribution-vs-redistribution-evidence-from-france-and-the-u-s/ ",https://wid.world/document/predistribution-vs-redistribution-evidence-from-france-and-the-u-s/
France,"Concialdi, P. (1997). Income distribution in France: The mid-1980s turning point. In ""Changing patterns in the distribution of economic welfare: An international perspective"". Cambridge University Press.",https://books.google.co.uk/books?hl=en&lr=&id=QK3yypiMK3EC&oi=fnd&pg=PA239&dq=Concialdi+P.+(1997)&ots=5-CgeU4nIA&sig=Ugaum5yEzuPC3w-3xPkq-ZJUaAs#v=onepage&q=Concialdi%20P.%20(1997)&f=false
France,"Garbinti, B., et al. (2018). ""Income Inequality in France, 1900-2014: Evidence from Distributional National Accounts (DINA)"". WID.world. Retrieved from https://wid.world/document/b-garbinti-j-goupille-and-t-piketty-inequality-dynamics-in-france-1900-2014-evidence-from-distributional-national-accounts-2016/.",https://wid.world/document/b-garbinti-j-goupille-and-t-piketty-inequality-dynamics-in-france-1900-2014-evidence-from-distributional-national-accounts-2016/
France,"Garbinti, B., et al. (2020). Accounting for Wealth Inequality Dynamics: Methods, Estimates and Simulations for France. ""WID.world"". Retrieved from https://wid.world/document/accounting-for-wealth-inequality-dynamics-methods-estimates-and-simulations-for-france-wid-world-working-paper-2020-05/.",https://wid.world/document/accounting-for-wealth-inequality-dynamics-methods-estimates-and-simulations-for-france-wid-world-working-paper-2020-05/
France,"Insee (1999).  L'évolutions des inégalités de revenus entre 1970 et 1996. ""Revenus et patrimoine des ménages"". Institut national de la statistique et des études économiques.",https://www.bnsp.insee.fr/ark:/12148/bc6p06xz84t.r=hourriez?rk=85837;2
France,Insee (2021a). Niveau de vie et indicateurs d’inégalités: Données annuelles de 1975 à 2019. Institut national de la statistique et des études économiques. Retrieved from https://www.insee.fr/fr/statistiques/2491918,https://www.insee.fr/fr/statistiques/2491918
France,"Insee (2021b). En 2019, le niveau de vie médian augmente nettement et le taux de pauvreté diminue. Institut national de la statistique et des études économiques. Retrieved from https://www.insee.fr/fr/statistiques/5431993",https://www.insee.fr/fr/statistiques/5431993
France,Insee (2021c). Taux de pauvreté selon le seuil de pauvreté: Données annuelles de 1975 à 2019. Institut national de la statistique et des études économiques. Retrieved from https://www.insee.fr/fr/statistiques/2408282#graphique-figure1,https://www.insee.fr/fr/statistiques/2408282#graphique-figure1
France,Insee (2022). Rapport interdécile D9/D5 du salaire net annuel en équivalent temps plein dans le secteur privé - Ensemble des salariés Retrieved from https://www.insee.fr/fr/statistiques/serie/010752360#Tableau.,https://www.insee.fr/fr/statistiques/serie/010752360#Tableau
France,"Piketty, T., et al. (2006). Wealth Concentration in a Developing Economy: Paris and France, 1807–1994. ""American Economic Review, 96(1)"", 236–256. https://doi.org/10.1257/000282806776157614. ",https://www.aeaweb.org/articles?id=10.1257/000282806776157614
France,"Postel-Vinay, G., & Rosenthal, J. (2006). Wealth Concentration in a Developing Economy: Paris and France, 1807–1994. ""American Economic Review, 96(1)"", 236–256. https://doi.org/10.1257/000282806776157614. ",http://piketty.pse.ens.fr/fichiers/public/PikettyPostel2006.pdf
Germany,"Atkinson, A. B. (2008). ""The Changing Distribution of earnings in OECD countries"". Oxford University Press.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Germany,"Albers, Thilo, et al. “The Distribution of Wealth in Germany, 1895-2018.” ECONtribute, 2020. Policy Brief No. 001.
Albers, T., Bartels, C., & Schularick, M. (2020). The Distribution of Wealth in Germany, 1895-2018. ""ECONtribute"". ",https://www.econtribute.de/RePEc/ajk/ajkpbs/ECONtribute_PB_001_2020.pdf
Germany,"Bartels, C. (2017). ""Top incomes in Germany, 1871-2013"". WID.world. Retrieved from https://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/ ",https://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/
Germany,"Becker, I. (1997). Die Entwicklung der Einkommensverteilung und der Einkommensarmut in den alten Bundesländern von 1962 bis 1988. In ""Einkommensverteilung und Armut"". Campus Verlag.",
Germany,"Blanchet, T., et al. (2020). Why Is Europe More Equal than the United States? ""WID.world"". Retrieved from https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/.",https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/
Germany,"DIW (Deutsche Institut für Wirtschaftsforschung). (1973). Einkommensverteilung und –schichtung der privaten Haushalte in der Bundesrepublik Deutschland 1950 bis 1970. ""Wochenbericht 25"".",
Germany,"Frick, J. R., Grabka, M. M., & Hauser, R. (2010). Die Verteilung der Vermögen in Deutschland. Edition Sigma. https://doi.org/10.5771/9783845269412 ",https://www.nomos-elibrary.de/10.5771/9783845269412/die-verteilung-der-vermoegen-in-deutschland
Germany,"Hauser, R., & Becker, I. (2001). Einkommensverteilung im Querschnitt und im Zeitverlauf 1973-1998. Bundesministerium Für Arbeit Und Sozialordnung. ",
Germany,SOEP Group. SOEPmonitor 2013-SOEPmonitor 1984-2013.,https://www.diw.de/en/diw_02.c.222727.en/soepmonitor.html#521248
Iceland,"Blanchet, T., et al. (2019). How Unequal Is Europe? Evidence from Distributional National Accounts, 1980-2017. ""WID.world"" Retrieved from https://wid.world/document/bcg2019-full-paper/. ",https://wid.world/document/bcg2019-full-paper/
Iceland,"Morgan, M., & Neef, T. (2020). 2020 DINA Update for Europe. ""WID.world"". Retrieved from https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/. ",https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/
Iceland,"Ólafsson, S., & Sigurðsson, K. (1996). Poverty in Iceland. In ""Den nordiska fattindomens utveckling och struktur"". Tema Nord.",https://books.google.co.uk/books?id=IY48a0hL248C&pg=PA72&source=gbs_selected_pages&cad=2#v=onepage&q&f=false
Iceland,"Ólafsson, S., and Kristjánsson, A. (2012). Þróun tekjuskiptingarinnar á Íslandi 1992–2010. ""Stjórnmál & Stjórnsýsla 8(1)"", 39-71.",https://skemman.is/handle/1946/12290
Iceland,"Ólafsson, S., and Kristjánsson, A. (2013). Income Inequality in Boom and Bust: A Tale from Iceland’s Bubble Economy. In ""Income inequality: Economic disparities and the middle class in affluent countries"". Stanford University Press.",https://www.degruyter.com/document/doi/10.1515/9780804786751-019/html
India,Asian Development Bank. (2007). Key Indicators 2007. Asian Development Bank.,https://www.adb.org/publications/key-indicators-asia-and-pacific-2007
India,"Banarjee, A., & Piketty, T. (2010). Top Indian Incomes: 1922-2000. In ""Top Incomes: A Global Perspective"". Oxford University Press.",https://books.google.co.uk/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ&redir_esc=y
India,"Bharti, N. K. (2018). Wealth Inequality, Class and Caste in India, 1961-2012. ""WID.world"". Retrieved from https://wid.world/document/n-k-bharti-wealth-inequality-class-and-caste-in-india-1961-2012/. ",https://wid.world/document/n-k-bharti-wealth-inequality-class-and-caste\-in-india-1961-2012/
India,"Chancel, L., & Piketty, T. (2017). Indian Income Inequality, 1922-2015: From British Raj to Billionaire Raj? ""WID.world"". Retrieved from https://wid.world/document/chancelpiketty2017widworld/. ",https://wid.world/document/chancelpiketty2017widworld/
India,"Majumdar, D. (2010). Decreasing poverty and increasing inequality in India. In ""Tackling inequalities in Brazil, China, India and South Africa"", 157-207. https://doi.org/10.1787/9789264088368-4-en. ",http://www.oecd-ilibrary.org/social-issues-migration-health/tackling-inequalities-in-brazil-china-india-and-south-africa-2010_9789264088368-en
India,"More, S., & Singh, N. (2014). Poverty in India: concepts, measurement and status.",https://mpra.ub.uni-muenchen.de/62400/1/MPRA_paper_62400.pdf
India,"Rangarajan, C. (2014). Report of the Expert Group to Review the Methodology for Measurement of Poverty. Government of India, Planning Commission.",http://planningcommission.nic.in/reports/genrep/pov_rep0707.pdf
India,"Vanneman, R., & Dubey, A. (2013). Horizontal and vertical inequalities in India. In ""Income inequality: Economic disparities and the middle class in affluent countries"". Stanford University Press.",
Indonesia,"Asra, A. (2000). Poverty and Inequality in Indonesia: Estimates, Decomposition and Key Issues. ""Journal of the Asia Pacific Economy, 5(1)"" 91–111. https://doi.org/10.1080/135478600360403. ",https://www.adb.org/sites/default/files/publication/28140/asra02.pdf
Indonesia,"Asra, A. (1989). Inequality Trends in Indonesia, 1969–1981: A Re-Examination. ""Bulletin of Indonesian Economic Studies, 25(2)"", 100–110. https://doi.org/10.1080/00074918812331335589. ",https://www.tandfonline.com/doi/abs/10.1080/00074918812331335589
Indonesia,"Booth, A. (1993). Counting the Poor in Indonesia. ""Bulletin of Indonesian Economic Studies, 29(1)"", 53–83. https://doi.org/10.1080/00074919312331336341.",http://wordpress.wid.world/document/2021-dina-regional-update-for-asia-world-inequality-lab-technical-note-2021-6/
Indonesia,"Krongkaew, M. & Ragayah H. M. Z. (2006). Income distribution and sustainable economic development in East Asia: A comparative analysis. ""IDEAs Working Paper 2"".",https://www.networkideas.org/feathm/oct2006/PDF/Medhi_Krongkaew_Ragayah_Haji.pdf
Indonesia,"Leigh, A., & van der Eng, P. (2010). Top incomes in Indonesia, 1920-2004. In ""Top Incomes: A Global Perspective"", 171-219. Oxford University Press.",https://wid.world/document/leigh-andrew-and-van-der-eng-pierre-2010-top-incomes-in-indonesia-1920-2004-in-atkinson-a-b-and-piketty-t-editors-top-incomes-a-global-perspective-oxford-university-press-ch/
Indonesia,"Miranti, R. (2010). Poverty in Indonesia 1984–2002: The impact of growth and changes in inequality. ""Bulletin of Indonesian Economic Studies, 46(1)"", 79–97. https://doi.org/10.1080/00074911003642252 ",https://www.tandfonline.com/doi/abs/10.1080/00074911003642252
Indonesia,"Sundrum, R. M. (1979). Income distribution, 1970–76. ""Bulletin of Indonesian Economic Studies, 15(1)"", 137–141. https://doi.org/10.1080/00074917912331333501 ",https://www.tandfonline.com/doi/abs/10.1080/00074917912331333501?needAccess=true
Italy,"Acciari, P., et al. (2020). The Concentration of Personal Wealth in Italy 1995–2016. University of Chicago Press. https://doi.org/10.31235/osf.io/2jznp.",https://www.nber.org/system/files/chapters/c14451/revisions/c14451.rev0.pdf
Italy,"Alvaredo, F., and Pisano, E. (2010). Top incomes in Italy 1974-2004. In ""Top Incomes: A Global Perspective"", 626-663. Oxford University Press.",https://wid.world/document/alvaredo-facundo-and-pisano-elena-2010-top-incomes-in-italy-1974-2004-in-atkinson-a-b-and-piketty-t-editors-top-incomes-a-global-perspective-oxford-university-press-chapter/
Italy,"Amendola, N., et al. (2009). Il costo della vita al Nord e al Sud d’Italia, dal dopoguerra a oggi. Stime di prima generazione. ""Rivista di politica economica 99(2)"", 3-34.",https://www.rivistapoliticaeconomica.it/il-costo-della-vita-al-nord-e-al-sud-ditalia-dal-dopoguerra-a-oggi-stime-di-prima-generazione/
Italy,"Atkinson, A. B. (2008). ""The Changing Distribution of earnings in OECD countries"". Oxford University Press.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Italy,"Blanchet, T. et al. (2020). ""Why Is Europe More Equal than the United States?"" WID.world. Retrieved from https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/.",https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/
Italy,"Brandolini, A. (1999). The distribution of personal income in post-war Italy: source description, data quality, and the time pattern of income inequality. ""Giornale degli economisti e Annali di economia"", 183-239.",https://www.jstor.org/stable/23248261
Italy,"Brandolini, A. (2014). The Big Chill: Italian Family Budgets after the Great Recession. ""Italian Politics 29(1)"", 233-256.",https://www.berghahnjournals.com/view/journals/italian-politics/29/1/ip290114.xml
Italy,"Brandolini, A., & Vecchi, G. (2011). The well-being of Italians: A comparative historical approach. ""SSRN Electronic Journal"". https://doi.org/10.2139/ssrn.2239015 ",https://www.bancaditalia.it/pubblicazioni/quaderni-storia/2011-0019/QSEn_19.pdf
Italy,"Brandolini, A., et al. (2006). Household wealth distribution in Italy in the 1990s. ""International Perspectives on Household Wealth"", 225-245.",https://www.bancaditalia.it/pubblicazioni/temi-discussione/2004/2004-0530/tema_530.pdf
Italy,"Cannari, L., & D'Alessio, G. (2018). Education, income and wealth: Persistence across generations in Italy. ""Bank of Italy"". https://doi.org/10.2139/ssrn.3431115 ",https://www.bancaditalia.it/pubblicazioni/qef/2018-0476/index.html?com.dotmarketing.htmlpage.language=1
Italy,"Vecchi, G. (2011). In ricchezza e in povertà. Il benessere degli italiani dall’Unità a oggi.",https://art.torvergata.it/handle/2108/20396
Italy,"Vecchi, G. (forthcoming). A History of Living Standards in Italy, 1861-2011. Oxford University Press.",
Japan,"Alvaredo, F., Moriguchi, C., & Saez, E. (2012). ""Japan Estimates of Top Income Shares: Update up to 2010"". WID.world. Retrieved from https://wid.world/document/wid_methodology_notes_2012_7_japan/",https://wid.world/document/wid_methodology_notes_2012_7_japan/
Japan,"Hayami, Y. (1997). Development Economics: From the Poverty to the Wealth of Nations. Clarendon Press.",https://econpapers.repec.org/article/cupjechis/v_3a58_3ay_3a1998_3ai_3a04_3ap_3a1176-1178_5f02.htm
Japan,"Kitao, S., & Yamada, T. (2019). Dimensions of Inequality in Japan: Distributions of Earnings, Income and Wealth between 1984 and 2014. ""SSRN Electronic Journal"". https://doi.org/10.2139/ssrn.3398648.",https://crawford.anu.edu.au/sites/default/files/publication/cama_crawford_anu_edu_au/2019-06/36_2019_kitao_yamada.pdf
Japan,"Lise, J., Sudo, N., Suzuki, M., Yamada, K., & Yamada, T. (2014). Wage, income and consumption inequality in Japan, 1981–2008: From boom to lost decades. ""Review of Economic Dynamics, 17(4)"", 582–612. https://doi.org/10.1016/j.red.2014.01.001 ",https://www.sciencedirect.com/science/article/abs/pii/S1094202514000027
Japan,"Minami, R. (1998). Economic development and income distribution in Japan: An assessment of the Kuznets hypothesis. ""Cambridge Journal of Economics, 22(1)"", 39–58. https://doi.org/10.1093/oxfordjournals.cje.a013704 ",https://academic.oup.com/cje/article-abstract/22/1/39/1711823?redirectedFrom=fulltext
Japan,"Moriguchi, C., & Saez, E. (2010). The evolution of income concentration in Japan, 1886–2005: Evidence from income tax statistics. In ""Top Incomes: A Global Perspective"", 713–734. Oxford University Press.",
Japan,"Tachibanaki, T. (2005). Confronting income inequality in Japan. MIT Press.",
Japan,"Tachibanaki, T. (2006). Inequality and poverty in Japan. ""The Japanese Economic Review, 57(1)"", 1–27. https://doi.org/10.1111/j.1468-5876.2006.00355.x ",
Malaysia,"Anand, S. (1983). Inequality and Poverty in Malaysia: Measurement and Decomposition. World Bank.",https://documents1.worldbank.org/curated/en/262031468776799037/pdf/multi0page.pdf
Malaysia,"Atkinson, A. B. (2013). Top incomes in Malaysia 1947 to the present. ""WID.world"". Retrieved from https://wid.world/document/wid_methodology_notes_2013_5_malaysia/.",https://wid.world/document/wid_methodology_notes_2013_5_malaysia/
Malaysia,"Department of Statistics Malaysia (2014). Household Income and Basic Amenities Survey Report 2014. Retrieved 21 September 2021, from the eStatistik (Data Request) facility of the Department of Statistics Malaysia website.",https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=120&bul_id=aHhtTHVWNVYzTFBua2dSUlBRL1Rjdz09&menu_id=amVoWU54UTl0a21NWmdhMjFMMWcyZz09
Malaysia,"Department of Statistics Malaysia (2019). Household Income and Basic Amenities Survey Report 2019. Retrieved 21 September 2021, from the eStatistik (Data Request) facility of the Department of Statistics Malaysia website.",https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=120&bul_id=TU00TmRhQ1N5TUxHVWN0T2VjbXJYZz09&menu_id=amVoWU54UTl0a21NWmdhMjFMMWcyZz09
Malaysia,"Ikemoto, Y. (1985). Income distribution in Malaysia: 1957-80. ""The Developing Economies, 23(4)"", 347–367. https://doi.org/10.1111/j.1746-1049.1985.tb00065.x ",https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1746-1049.1985.tb00065.x
Malaysia,"Krongkaew, M. & Ragayah H. M. Z. (2006). Income distribution and sustainable economic development in East Asia: A comparative analysis. ""IDEAs Working Paper 2"".",https://www.networkideas.org/feathm/oct2006/PDF/Medhi_Krongkaew_Ragayah_Haji.pdf
Malaysia,"Ragayah, H. M. Z. (2008). Income Inequality in Malaysia. ""Asian Economic Policy Review, 3(1), 114–132. https://doi.org/10.1111/j.1748-3131.2008.00096.x.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-3131.2008.00096.x
Malaysia,"Rao, V. V. B. (1988). Income distribution in East Asian developing countries. ""Asian-Pacific Economic Literature, 2(1)"", 26–45. https://doi.org/10.1111/j.1467-8411.1988.tb00144.x ",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8411.1988.tb00144.x
Mauritius,"Atkinson, A. B. (2011). Top incomes in Mauritius: A 75 year history. Series updated by the author.",
